Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 2/10/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
108976,ANTHRO 2722,Sonic Ethnography,1,Anthropology,"Karel,Ernst",0,6,0,1,0,0,0,7
113022,ANTHRO 3000,Reading Course,4,Anthropology,"Castaing-Taylor,Lucien",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,9,Anthropology,"Fash,William",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,10,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,13,Anthropology,"Harkness,Nicholas H.",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,15,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,16,Anthropology,"Liebmann,Matt",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,19,Anthropology,"Meiu,George Paul",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,20,Anthropology,"Puett,Michael J.",0,2,0,0,0,0,0,2
116603,ANTHRO 3001,Reading for General Examinatio,12,Anthropology,"Good,Byron",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,15,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,16,Anthropology,"Liebmann,Matt",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,25,Anthropology,"Warinner,Christina Gertrude",0,1,0,0,0,0,0,1
120488,ANTHRO 3070,Professionalization in Arch.,1,Anthropology,"Warinner,Christina Gertrude",0,4,0,0,0,0,0,4
119079,ANTHRO 3400,Reading and Research,1,Anthropology,,0,20,0,0,0,0,0,20
210892,ANTHRO 3410,Teaching Fellows,1,Anthropology,,0,24,0,0,0,0,0,24
111058,ANTHRO 3500,Direction of Doctoral,6,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,10,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,13,Anthropology,"Harkness,Nicholas H.",0,3,0,0,0,0,0,3
111058,ANTHRO 3500,Direction of Doctoral,15,Anthropology,"Kleinman,Arthur",0,3,0,0,0,0,0,3
